Proton|Arena|I|2002|2010|Пикап Одинарная кабина|1.5|механика|61|бензин|7ae85c505
Proton|Exora||2009|н.в.|Компактвэн|1.6|автомат|126|бензин|425f4803f
Proton|Exora||2009|н.в.|Компактвэн|1.6|вариатор|140|бензин|425f4803f
Proton|Exora||2009|н.в.|Компактвэн|1.6|механика|126|бензин|425f4803f
Proton|Gen-2||2004|2012|Хэтчбек 5 дв.|1.3|автомат|95|бензин|4ed8e8d5d
Proton|Gen-2||2004|2012|Хэтчбек 5 дв.|1.3|механика|95|бензин|4ed8e8d5d
Proton|Gen-2||2004|2012|Хэтчбек 5 дв.|1.6|автомат|110|СУГ|4ed8e8d5d
Proton|Gen-2||2004|2012|Хэтчбек 5 дв.|1.6|автомат|110|бензин|4ed8e8d5d
Proton|Gen-2||2004|2012|Хэтчбек 5 дв.|1.6|механика|110|СУГ|4ed8e8d5d
Proton|Gen-2||2004|2012|Хэтчбек 5 дв.|1.6|механика|110|бензин|4ed8e8d5d
Proton|Inspira||2010|2015|Седан|1.8|вариатор|140|бензин|1c29467e0
Proton|Inspira||2010|2015|Седан|2.0|вариатор|150|бензин|1c29467e0
Proton|Juara||2001|2003|Микровэн|1.1|автомат|71|бензин|aca1ac398
Proton|Perdana||1995|2010|Седан|2.0|автомат|150|бензин|6a5229aaa
Proton|Perdana||1995|2010|Седан|2.0|механика|137|бензин|6a5229aaa
Proton|Persona|III|2016|н.в.|Седан|1.6|вариатор|107|бензин|87d30adbc
Proton|Persona|III|2016|н.в.|Седан|1.6|механика|107|бензин|87d30adbc
Proton|Persona|II|2007|2016|Седан|1.6|автомат|110|СУГ|323a175f5
Proton|Persona|II|2007|2016|Седан|1.6|автомат|110|бензин|323a175f5
Proton|Persona|II|2007|2016|Седан|1.6|механика|110|СУГ|323a175f5
Proton|Persona|II|2007|2016|Седан|1.6|механика|110|бензин|323a175f5
Proton|Persona|I|1993|2007|Купе|1.8|механика|140|бензин|a1a988de2
Proton|Persona|I|1993|2007|Седан|1.5|автомат|87|бензин|2d7e6dc5a
Proton|Persona|I|1993|2007|Седан|1.5|механика|87|бензин|2d7e6dc5a
Proton|Persona|I|1993|2007|Седан|1.6|механика|120|бензин|2d7e6dc5a
Proton|Persona|I|1993|2007|Седан|2.0|механика|65|дизель|2d7e6dc5a
Proton|Persona|I|1993|2007|Седан|2.0|механика|82|дизель|2d7e6dc5a
Proton|Persona|I|1993|2007|Хэтчбек 3 дв.|1.3|механика|75|бензин|044d838ec
Proton|Persona|I|1993|2007|Хэтчбек 3 дв.|1.5|механика|87|бензин|044d838ec
Proton|Persona|I|1993|2007|Хэтчбек 5 дв.|1.3|механика|75|бензин|a8696fff5
Proton|Persona|I|1993|2007|Хэтчбек 5 дв.|1.5|автомат|87|бензин|a8696fff5
Proton|Persona|I|1993|2007|Хэтчбек 5 дв.|1.5|механика|87|бензин|a8696fff5
Proton|Persona|I|1993|2007|Хэтчбек 5 дв.|1.6|механика|120|бензин|a8696fff5
Proton|Persona|I|1993|2007|Хэтчбек 5 дв.|1.6|механика|95|бензин|a8696fff5
Proton|Persona|I|1993|2007|Хэтчбек 5 дв.|1.8|автомат|116|бензин|a8696fff5
Proton|Persona|I|1993|2007|Хэтчбек 5 дв.|1.8|механика|116|бензин|a8696fff5
Proton|Persona|I|1993|2007|Хэтчбек 5 дв.|2.0|механика|65|дизель|a8696fff5
Proton|Preve||2011|2020|Седан|1.6|вариатор|110|бензин|909979145
Proton|Preve||2011|2020|Седан|1.6|вариатор|140|бензин|909979145
Proton|Preve||2011|2020|Седан|1.6|механика|110|бензин|909979145
Proton|Putra|I|1996|2004|Купе|1.8|автомат|140|бензин|ef956710d
Proton|Putra|I|1996|2004|Купе|1.8|механика|140|бензин|ef956710d
Proton|Saga|II|2008|н.в.|Седан|1.3|автомат|95|бензин|3e73c84df
Proton|Saga|II|2008|н.в.|Седан|1.3|механика|95|бензин|3e73c84df
Proton|Saga|II|2008|н.в.|Седан|1.6|автомат|110|бензин|3e73c84df
Proton|Saga|II|2008|н.в.|Седан|1.6|вариатор|110|бензин|3e73c84df
Proton|Saga|I|1985|2008|Седан|1.3|механика|75|бензин|fc34c64f4
Proton|Saga|I|1985|2008|Седан|1.5|автомат|90|бензин|fc34c64f4
Proton|Saga|I|1985|2008|Седан|1.5|механика|90|бензин|fc34c64f4
Proton|Saga|I|1985|2008|Хэтчбек 5 дв.|1.3|механика|75|бензин|8b8287a61
Proton|Saga|I|1985|2008|Хэтчбек 5 дв.|1.5|автомат|90|бензин|8b8287a61
Proton|Saga|I|1985|2008|Хэтчбек 5 дв.|1.5|механика|90|бензин|8b8287a61
Proton|Satria|I (300 Series)|1996|2005|Хэтчбек 3 дв.|1.3|механика|75|бензин|705701e01
Proton|Satria|I (300 Series)|1996|2005|Хэтчбек 3 дв.|1.5|автомат|87|бензин|705701e01
Proton|Satria|I (300 Series)|1996|2005|Хэтчбек 3 дв.|1.5|механика|87|бензин|705701e01
Proton|Satria|I (300 Series)|1996|2005|Хэтчбек 3 дв.|1.6|автомат|95|бензин|705701e01
Proton|Satria|I (300 Series)|1996|2005|Хэтчбек 3 дв.|1.6|механика|95|бензин|705701e01
Proton|Satria|I (300 Series)|1996|2005|Хэтчбек 3 дв.|1.8|механика|135|бензин|705701e01
Proton|Satria|II|2006|2015|Хэтчбек 3 дв.|1.3|механика|95|бензин|d81f0fa4f
Proton|Satria|II|2006|2015|Хэтчбек 3 дв.|1.6|автомат|126|бензин|d81f0fa4f
Proton|Satria|II|2006|2015|Хэтчбек 3 дв.|1.6|механика|110|бензин|d81f0fa4f
Proton|Satria|II|2006|2015|Хэтчбек 3 дв.|1.6|механика|126|бензин|d81f0fa4f
Proton|Savvy|I|2005|2011|Хэтчбек 5 дв.|1.2|робот|75|бензин|28bfb64bc
Proton|Tiara|I|1996|2000|Хэтчбек 5 дв.|1.1|механика|54|бензин|3ef7cfaab
Proton|Tiara|I|1996|2000|Хэтчбек 5 дв.|1.1|механика|60|бензин|3ef7cfaab
Proton|Waja||2000|2011|Седан|1.6|механика|103|бензин|9a736e3b3
Proton|Waja||2000|2011|Седан|1.8|автомат|120|бензин|9a736e3b3
Proton|Wira (400 Series)||1993|2009|Купе|1.8|механика|135|бензин|cfb569678
Proton|Wira (400 Series)||1993|2009|Лифтбек|1.3|механика|75|бензин|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|1.5|автомат|90|бензин|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|1.5|механика|87|бензин|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|1.5|механика|90|бензин|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|1.6|автомат|113|бензин|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|1.6|механика|113|бензин|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|1.6|механика|95|бензин|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|1.8|механика|115|бензин|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|2.0|механика|68|дизель|73aed156d
Proton|Wira (400 Series)||1993|2009|Лифтбек|2.0|механика|82|дизель|73aed156d
Proton|Wira (400 Series)||1993|2009|Седан|1.5|автомат|87|бензин|9f4dc4f13
Proton|Wira (400 Series)||1993|2009|Седан|1.5|автомат|90|бензин|9f4dc4f13
Proton|Wira (400 Series)||1993|2009|Седан|1.5|механика|87|бензин|9f4dc4f13
Proton|Wira (400 Series)||1993|2009|Седан|1.5|механика|90|бензин|9f4dc4f13
Proton|Wira (400 Series)||1993|2009|Седан|1.6|автомат|113|бензин|9f4dc4f13
Proton|Wira (400 Series)||1993|2009|Седан|1.6|механика|113|бензин|9f4dc4f13
Proton|Wira (400 Series)||1993|2009|Седан|1.6|механика|95|бензин|9f4dc4f13
Proton|Wira (400 Series)||1993|2009|Седан|2.0|механика|68|дизель|9f4dc4f13