Vortex|Corda||2010|2012|Лифтбек|1.5|механика|109|бензин|5fdc18be9
Vortex|Estina|II (FL-C)|2012|2013|Седан|1.5|механика|109|бензин|69c10794e
Vortex|Estina|I|2008|2012|Седан|1.5|механика|109|бензин|bdef0a9c6
Vortex|Estina|I|2008|2012|Седан|1.6|механика|119|бензин|bdef0a9c6
Vortex|Estina|I|2008|2012|Седан|2.0|механика|129|бензин|bdef0a9c6
Vortex|Estina|I|2008|2012|Седан|2.0|механика|136|бензин|bdef0a9c6
Vortex|Tingo|I (FL)|2012|2014|Внедорожник 5 дв.|1.9|автомат|132|бензин|c3c4a3155
Vortex|Tingo|I (FL)|2012|2014|Внедорожник 5 дв.|1.9|механика|132|бензин|c3c4a3155
Vortex|Tingo|I (FL)|2012|2014|Внедорожник 5 дв.|1.9|робот|132|бензин|c3c4a3155
Vortex|Tingo|I|2010|2012|Внедорожник 5 дв.|1.9|механика|132|бензин|97674947b
Vortex|Tingo|I|2010|2012|Внедорожник 5 дв.|1.9|робот|132|бензин|97674947b